
---------- Begin Simulation Statistics ----------
simSeconds                                   0.313003                       # Number of seconds simulated (Second)
simTicks                                 313003067000                       # Number of ticks simulated (Tick)
finalTick                                313003067000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  28770.75                       # Real time elapsed on the host (Second)
hostTickRate                                 10879213                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     939320                       # Number of bytes of host memory used (Byte)
simInsts                                   2561358475                       # Number of instructions simulated (Count)
simOps                                     4020220902                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89026                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     139733                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       238408908                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.196857                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.835522                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      452831131                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194696                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     434814355                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                342345                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118585100                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134563353                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194080                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          238220673                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.825259                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.131695                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 97494989     40.93%     40.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39793913     16.70%     57.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 28852838     12.11%     69.74% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18342374      7.70%     77.44% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17550450      7.37%     84.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16122253      6.77%     91.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 11729792      4.92%     96.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5576685      2.34%     98.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2757379      1.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            238220673                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1877614     13.22%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   115      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     6      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   10      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                1      0.00%     13.22% # attempts to use FU when none available (Count)
