
---------- Begin Simulation Statistics ----------
simSeconds                                   0.322726                       # Number of seconds simulated (Second)
simTicks                                 322726101000                       # Number of ticks simulated (Tick)
finalTick                                322726101000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  30635.57                       # Real time elapsed on the host (Second)
hostTickRate                                 10534358                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     928440                       # Number of bytes of host memory used (Byte)
simInsts                                   2565459306                       # Number of instructions simulated (Count)
simOps                                     4027249847                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83741                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     131457                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       240544102                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.207569                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.828110                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      452840716                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194720                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     434850294                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                366496                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118592403                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134845548                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194098                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          240359732                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.809164                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.129811                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 99567220     41.42%     41.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39918654     16.61%     58.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 28899897     12.02%     70.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18252013      7.59%     77.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17476276      7.27%     84.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16133351      6.71%     91.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 11750128      4.89%     96.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5594364      2.33%     98.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2767829      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            240359732                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1875481     13.21%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.21% # attempts to use FU when none available (Count)
