
---------- Begin Simulation Statistics ----------
simSeconds                                   0.313813                       # Number of seconds simulated (Second)
simTicks                                 313812968000                       # Number of ticks simulated (Tick)
finalTick                                313812968000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  30279.74                       # Real time elapsed on the host (Second)
hostTickRate                                 10363793                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     934200                       # Number of bytes of host memory used (Byte)
simInsts                                   2563375252                       # Number of instructions simulated (Count)
simOps                                     4023677324                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    84656                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     132883                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       238833540                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.199011                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.834020                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      452845329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194691                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     434826518                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                342306                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118606039                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134586496                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194075                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          238646959                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.822049                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.131266                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 97906810     41.03%     41.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39815812     16.68%     57.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 28858750     12.09%     69.80% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18330179      7.68%     77.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17540682      7.35%     84.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16124120      6.76%     91.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 11734036      4.92%     96.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5577435      2.34%     98.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2759135      1.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            238646959                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1877057     13.22%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.22% # attempts to use FU when none available (Count)
