
---------- Begin Simulation Statistics ----------
simSeconds                                   0.313441                       # Number of seconds simulated (Second)
simTicks                                 313441006500                       # Number of ticks simulated (Tick)
finalTick                                313441006500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  33895.22                       # Real time elapsed on the host (Second)
hostTickRate                                  9247350                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     936252                       # Number of bytes of host memory used (Byte)
simInsts                                   2563431072                       # Number of instructions simulated (Count)
simOps                                     4023772464                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    75628                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     118712                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       238787533                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.198750                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.834203                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      452850845                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9194705                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     434832329                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                342353                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           118602340                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        134580501                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            3194086                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          238600079                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.822432                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.131291                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 97863412     41.02%     41.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 39805899     16.68%     57.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 28856164     12.09%     69.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 18337183      7.69%     77.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17546793      7.35%     84.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 16122696      6.76%     91.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 11731909      4.92%     96.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5577737      2.34%     98.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2758286      1.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            238600079                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1877861     13.22%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     13.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     13.22% # attempts to use FU when none available (Count)
